,name,stars,rating,reviews_count,has_free_wifi,gallery_images_count,address,start_year,good_district
0,1-й Амбулаторный пр-д 5к2,,,,True,19,"1-й Амбулаторный пр-д 5к2, Аэропорт, Москва, Россия",2017,False
1,Apartment on Volgogradsky Prospekt,,8.3,13,True,31,"Volgogradskiy prospekt 11, Таганский, Москва, Россия",2017,False
2,1-комнатный Апартамент на Планетной 49,,,,True,19,"49 ulitsa Planetnaya, Аэропорт, Москва, Россия",2017,False
3,2-я Миусская ул. 3-5,,,,True,40,"3/5 2-ya Miusskaya ulitsa, Тверской, Москва, Россия",2017,True
4,2 комнатные Апартаменты,,,,True,14,"9 Tuchkovskaya Ulitsa 5 этаж. квартира 55, Москва, Россия",2017,False
5,2 комнатные Апартаменты на метро Аэропорт,,,,True,33,"Ленинградский проспект 45к1, Хорошевский, Москва, Россия",2017,False
6,Apartment on Presnenskiy Val,,8.8,5,True,19,"Ulitsa Presnenskiy Val 5, Пресненский, Москва, Россия",2017,True
7,Апартаменты на Тверской,,9.3,41,True,30,"1-ая Тверская Ямская 9, Тверской, Москва, Россия",2014,True
8,"Апартаменты ""Фисташка""",,7.8,31,True,64,"Ulitsa Gruzinskiy Val, 28/45, Пресненский, Москва, Россия",2016,True
9,3-Room Apartment on Smolensky,,,,True,33,"Smolenskiy bulvar 6к8 , Хамовники, Москва, Россия",2017,True
10,Apartment on Ovchinnikovskaya,,9.5,6,True,33,"Ovchinnikovskaya Naberezhnaya 22/24, Bldg 1, Замоскворечье, Москва, Россия",2017,False
11,Отель 45,,8.5,166,True,26,"Семеновская набережная 3/1 Корпус 6, Басманный, Москва, Россия",2011,False
12,Apartment on Ulitsa 1905 Goda,,7.9,32,True,40,"Ulitsa 1905 Goda 17, Пресненский, Москва, Россия",2016,True
13,Бутик-отель 77Doors,3,8.7,197,True,51,"Петропавловский переулок, 5, Таганский, Москва, Россия",2017,True
14,Adagio Moscow Kievskaya,,9.2,345,True,36,"Киевская Улица 2, Дорогомилово, Москва, Россия",2016,True
15,Адажио Москва Павелецкая,,8.9,407,True,37,"Улица Бахрушина 11, Замоскворечье, Москва, Россия",2013,False
16,Адам Отель,,8.8,362,True,58,"Нижняя Красносельская 15 Стр 1, Красносельский, Москва, Россия",2013,False
17,Апартаменты Adrimi ,,9.1,124,True,45,"Район Большой Серпуховской Улицы, Замоскворечье, Москва, Россия",2013,False
18,Отель Аэрополис,3,7.9,2010,True,54,"Ленинградский проспект 37 корп.5, Хорошевский, Москва, Россия",2009,False
